id,cat3
TEST_00343,골프
TEST_00344,유원지
TEST_00345,박물관
TEST_00346,유적지/사적지
TEST_00347,바/까페
TEST_00348,한식
TEST_00349,사찰
TEST_00350,일반축제
TEST_00351,일반축제
TEST_00352,고택
TEST_00353,한식
TEST_00354,한식
TEST_00355,상설시장
TEST_00356,공원
TEST_00357,항구/포구
TEST_00358,한식
TEST_00359,서양식
TEST_00360,농.산.어촌 체험
TEST_00361,한식
TEST_00362,서양식
TEST_00363,전시관
TEST_00364,한식
TEST_00365,테마공원
TEST_00366,유적지/사적지
TEST_00367,모텔
TEST_00368,유적지/사적지
TEST_00369,고택
TEST_00370,기념탑/기념비/전망대
TEST_00371,한식
TEST_00372,농.산.어촌 체험
TEST_00373,유적지/사적지
TEST_00374,한식
TEST_00375,한식
TEST_00376,"야영장,오토캠핑장"
TEST_00377,펜션
TEST_00378,모텔
TEST_00379,한식
TEST_00380,기념탑/기념비/전망대
TEST_00381,문화원
TEST_00382,농.산.어촌 체험
TEST_00383,계곡
TEST_00384,박물관
TEST_00385,한식
TEST_00386,"야영장,오토캠핑장"
TEST_00387,골프
TEST_00388,전문상가
TEST_00389,농.산.어촌 체험
TEST_00390,민물낚시
TEST_00391,전문상가
TEST_00392,수련시설
TEST_00393,미술관/화랑
TEST_00394,"야영장,오토캠핑장"
TEST_00395,"야영장,오토캠핑장"
TEST_00396,한식
TEST_00397,유적지/사적지
TEST_00398,일반축제
TEST_00399,이색거리
TEST_00400,한식
TEST_00401,일식
TEST_00402,한식
TEST_00403,모텔
TEST_00404,바/까페
TEST_00405,해수욕장
TEST_00406,"야영장,오토캠핑장"
TEST_00407,펜션
TEST_00408,한식
TEST_00409,한식
TEST_00410,농.산.어촌 체험
TEST_00411,관광단지
TEST_00412,서양식
TEST_00413,항구/포구
TEST_00414,일반축제
TEST_00415,유적지/사적지
TEST_00416,계곡
TEST_00417,일반축제
TEST_00418,상설시장
TEST_00419,중식
TEST_00420,일반축제
TEST_00421,바/까페
TEST_00422,한식
TEST_00423,사찰
TEST_00424,유적지/사적지
TEST_00425,한식
TEST_00426,산
TEST_00427,바/까페
TEST_00428,한식
TEST_00429,트래킹
TEST_00430,일반축제
TEST_00431,일반축제
TEST_00432,한식
TEST_00433,펜션
TEST_00434,스키(보드) 렌탈샵
TEST_00435,모텔
TEST_00436,"야영장,오토캠핑장"
TEST_00437,전문상가
TEST_00438,한식
TEST_00439,트래킹
TEST_00440,골프
TEST_00441,한식
TEST_00442,바/까페
TEST_00443,한식
TEST_00444,기념탑/기념비/전망대
TEST_00445,한식
TEST_00446,일반축제
TEST_00447,민물낚시
TEST_00448,바/까페
TEST_00449,승마
TEST_00450,사찰
TEST_00451,골프
TEST_00452,자연생태관광지
TEST_00453,한식
TEST_00454,한식
TEST_00455,"야영장,오토캠핑장"
TEST_00456,전문상가
TEST_00457,강
TEST_00458,한식
TEST_00459,일반축제
TEST_00460,"야영장,오토캠핑장"
TEST_00461,한식
TEST_00462,한식
TEST_00463,모텔
TEST_00464,한식
TEST_00465,"야영장,오토캠핑장"
TEST_00466,섬
TEST_00467,농.산.어촌 체험
TEST_00468,한식
TEST_00469,한식
TEST_00470,모텔
TEST_00471,유명건물
TEST_00472,자연생태관광지
TEST_00473,유명건물
TEST_00474,기념탑/기념비/전망대
TEST_00475,산
TEST_00476,중식
TEST_00477,한식
TEST_00478,서양식
TEST_00479,한식
TEST_00480,전시관
TEST_00481,펜션
TEST_00482,관광단지
TEST_00483,한식
TEST_00484,공원
TEST_00485,농.산.어촌 체험
TEST_00486,자연생태관광지
TEST_00487,썰매장
TEST_00488,일반축제
TEST_00489,사찰
TEST_00490,산
TEST_00491,펜션
TEST_00492,자연생태관광지
TEST_00493,"야영장,오토캠핑장"
TEST_00494,스키(보드) 렌탈샵
TEST_00495,바/까페
TEST_00496,"야영장,오토캠핑장"
TEST_00497,유적지/사적지
TEST_00498,한식
TEST_00499,한식
TEST_00500,상설시장
TEST_00501,서양식
TEST_00502,트래킹
TEST_00503,한식
TEST_00504,관광단지
TEST_00505,산
TEST_00506,산
TEST_00507,한식
TEST_00508,래프팅
TEST_00509,한식
TEST_00510,골프
TEST_00511,테마공원
TEST_00512,상설시장
TEST_00513,종교성지
TEST_00514,한식
TEST_00515,전문상가
TEST_00516,기념탑/기념비/전망대
TEST_00517,"야영장,오토캠핑장"
TEST_00518,한식
TEST_00519,사찰
TEST_00520,일반축제
TEST_00521,한식
TEST_00522,펜션
TEST_00523,도서관
TEST_00524,사찰
TEST_00525,기념탑/기념비/전망대
TEST_00526,"야영장,오토캠핑장"
TEST_00527,한식
TEST_00528,이색거리
TEST_00529,"야영장,오토캠핑장"
TEST_00530,한식
TEST_00531,"야영장,오토캠핑장"
TEST_00532,이색거리
TEST_00533,전문상가
TEST_00534,일반축제
TEST_00535,중식
TEST_00536,"야영장,오토캠핑장"
TEST_00537,펜션
TEST_00538,패밀리레스토랑
TEST_00539,산
TEST_00540,농.산.어촌 체험
TEST_00541,기암괴석
TEST_00542,서양식
TEST_00543,한식
TEST_00544,폭포
TEST_00545,도서관
TEST_00546,한식
TEST_00547,모텔
TEST_00548,"야영장,오토캠핑장"
TEST_00549,한식
TEST_00550,공원
TEST_00551,자연생태관광지
TEST_00552,한식
TEST_00553,한식
TEST_00554,유적지/사적지
TEST_00555,농.산.어촌 체험
TEST_00556,미술관/화랑
TEST_00557,고택
TEST_00558,한식
TEST_00559,"야영장,오토캠핑장"
TEST_00560,전문상가
TEST_00561,섬
TEST_00562,계곡
TEST_00563,사찰
TEST_00564,"야영장,오토캠핑장"
TEST_00565,"야영장,오토캠핑장"
TEST_00566,"야영장,오토캠핑장"
TEST_00567,펜션
TEST_00568,한식
TEST_00569,사찰
TEST_00570,종교성지
TEST_00571,한식
TEST_00572,"야영장,오토캠핑장"
TEST_00573,한식
TEST_00574,중식
TEST_00575,농.산.어촌 체험
TEST_00576,한식
TEST_00577,사찰
TEST_00578,바/까페
TEST_00579,민물낚시
TEST_00580,펜션
TEST_00581,한식
TEST_00582,한식
TEST_00583,펜션
TEST_00584,모텔
TEST_00585,"야영장,오토캠핑장"
TEST_00586,"야영장,오토캠핑장"
TEST_00587,전문상가
TEST_00588,일반축제
TEST_00589,바/까페
TEST_00590,수목원
TEST_00591,일반축제
TEST_00592,"야영장,오토캠핑장"
TEST_00593,바/까페
TEST_00594,골프
TEST_00595,모텔
TEST_00596,문화원
TEST_00597,계곡
TEST_00598,한식
TEST_00599,수목원
TEST_00600,유적지/사적지
TEST_00601,한식
TEST_00602,모텔
TEST_00603,박물관
TEST_00604,유적지/사적지
TEST_00605,유적지/사적지
TEST_00606,공원
TEST_00607,해수욕장
TEST_00608,서양식
TEST_00609,5일장
TEST_00610,중식
TEST_00611,한식
TEST_00612,사찰
TEST_00613,한식
TEST_00614,바/까페
TEST_00615,바/까페
TEST_00616,"야영장,오토캠핑장"
TEST_00617,유적지/사적지
TEST_00618,농.산.어촌 체험
TEST_00619,사찰
TEST_00620,"야영장,오토캠핑장"
TEST_00621,공원
TEST_00622,바/까페
TEST_00623,한식
TEST_00624,한식
TEST_00625,자연생태관광지
TEST_00626,한식
TEST_00627,5일장
TEST_00628,모텔
TEST_00629,트래킹
TEST_00630,한식
TEST_00631,한식
TEST_00632,한식
TEST_00633,사찰
TEST_00634,한옥스테이
TEST_00635,농.산.어촌 체험
TEST_00636,이색거리
TEST_00637,한식
TEST_00638,한식
TEST_00639,박물관
TEST_00640,이색거리
TEST_00641,한식
TEST_00642,스키(보드) 렌탈샵
TEST_00643,해수욕장
TEST_00644,한식
TEST_00645,유적지/사적지
TEST_00646,도서관
TEST_00647,산
TEST_00648,골프
TEST_00649,한식
TEST_00650,자연생태관광지
TEST_00651,기념탑/기념비/전망대
TEST_00652,유원지
TEST_00653,한식
TEST_00654,민물낚시
TEST_00655,희귀동.식물
TEST_00656,섬
TEST_00657,고택
TEST_00658,박물관
TEST_00659,한식
TEST_00660,트래킹
TEST_00661,한식
TEST_00662,한식
TEST_00663,농.산.어촌 체험
TEST_00664,바/까페
TEST_00665,"야영장,오토캠핑장"
TEST_00666,"야영장,오토캠핑장"
TEST_00667,한옥스테이
TEST_00668,사찰
TEST_00669,일반축제
TEST_00670,관광단지
TEST_00671,공연장
TEST_00672,강
TEST_00673,고택
TEST_00674,펜션
TEST_00675,트래킹
TEST_00676,유명건물
TEST_00677,공연장
TEST_00678,"야영장,오토캠핑장"
TEST_00679,공원
TEST_00680,기념관
TEST_00681,한식
TEST_00682,산
TEST_00683,한식
TEST_00684,해수욕장
TEST_00685,한식
TEST_00686,"야영장,오토캠핑장"
TEST_00687,한식
TEST_00688,유명건물
TEST_00689,펜션
TEST_00690,박물관
TEST_00691,전문상가
TEST_00692,농.산.어촌 체험
TEST_00693,"야영장,오토캠핑장"
TEST_00694,일반축제
TEST_00695,모텔
TEST_00696,해수욕장
TEST_00697,중식
TEST_00698,골프
TEST_00699,다리/대교
TEST_00700,일식
TEST_00701,바/까페
TEST_00702,산
TEST_00703,한식
TEST_00704,섬
TEST_00705,한식
TEST_00706,상설시장
TEST_00707,이색거리
TEST_00708,한식
TEST_00709,한식
TEST_00710,박물관
TEST_00711,일반축제
TEST_00712,일반축제
TEST_00713,바/까페
TEST_00714,온천/욕장/스파
TEST_00715,한식
TEST_00716,박물관
TEST_00717,산
TEST_00718,펜션
TEST_00719,"야영장,오토캠핑장"
TEST_00720,박물관
TEST_00721,펜션
TEST_00722,한식
TEST_00723,한식
TEST_00724,유적지/사적지
TEST_00725,"야영장,오토캠핑장"
TEST_00726,공원
TEST_00727,펜션
TEST_00728,해수욕장
TEST_00729,공원
TEST_00730,농.산.어촌 체험
TEST_00731,한식
TEST_00732,한식
TEST_00733,한식
TEST_00734,한식
TEST_00735,"야영장,오토캠핑장"
TEST_00736,모텔
TEST_00737,사찰
TEST_00738,미술관/화랑
TEST_00739,수목원
TEST_00740,"야영장,오토캠핑장"
TEST_00741,미술관/화랑
TEST_00742,펜션
TEST_00743,민물낚시
TEST_00744,"야영장,오토캠핑장"
TEST_00745,수목원
TEST_00746,한식
TEST_00747,바/까페
TEST_00748,펜션
TEST_00749,트래킹
TEST_00750,바/까페
TEST_00751,"야영장,오토캠핑장"
TEST_00752,한식
TEST_00753,산
TEST_00754,미술관/화랑
TEST_00755,한식
TEST_00756,"야영장,오토캠핑장"
TEST_00757,농.산.어촌 체험
TEST_00758,강
TEST_00759,산
TEST_00760,유적지/사적지
TEST_00761,상설시장
TEST_00762,한식
TEST_00763,테마공원
TEST_00764,이색거리
TEST_00765,모텔
TEST_00766,상설시장
TEST_00767,유적지/사적지
TEST_00768,계곡
TEST_00769,일반축제
TEST_00770,미술관/화랑
TEST_00771,한식
TEST_00772,바/까페
TEST_00773,사찰
TEST_00774,한식
TEST_00775,테마공원
TEST_00776,온천/욕장/스파
TEST_00777,공원
TEST_00778,사찰
TEST_00779,한식
TEST_00780,중식
TEST_00781,전문상가
TEST_00782,강
TEST_00783,"야영장,오토캠핑장"
TEST_00784,"야영장,오토캠핑장"
TEST_00785,상설시장
TEST_00786,"야영장,오토캠핑장"
TEST_00787,"야영장,오토캠핑장"
TEST_00788,박물관
TEST_00789,전문상가
TEST_00790,한식
TEST_00791,한식
TEST_00792,도서관
TEST_00793,고택
TEST_00794,유적지/사적지
TEST_00795,일식
TEST_00796,한식
TEST_00797,일반축제
TEST_00798,이색거리
TEST_00799,한식
TEST_00800,유명건물
TEST_00801,박물관
TEST_00802,해수욕장
TEST_00803,사찰
TEST_00804,사찰
TEST_00805,바/까페
TEST_00806,유적지/사적지
TEST_00807,사찰
TEST_00808,일반축제
TEST_00809,공원
TEST_00810,민물낚시
TEST_00811,미술관/화랑
TEST_00812,농.산.어촌 체험
TEST_00813,한식
TEST_00814,바/까페
TEST_00815,강
TEST_00816,한식
TEST_00817,"야영장,오토캠핑장"
TEST_00818,바/까페
TEST_00819,일반축제
TEST_00820,한식
TEST_00821,해수욕장
TEST_00822,농.산.어촌 체험
TEST_00823,한식
TEST_00824,"야영장,오토캠핑장"
TEST_00825,박물관
TEST_00826,유적지/사적지
TEST_00827,트래킹
TEST_00828,공연장
TEST_00829,한식
TEST_00830,일반축제
TEST_00831,한식
TEST_00832,골프
TEST_00833,박물관
TEST_00834,산
TEST_00835,전문상가
TEST_00836,기념관
TEST_00837,바/까페
TEST_00838,희귀동.식물
TEST_00839,종교성지
TEST_00840,한식
TEST_00841,일식
TEST_00842,한옥스테이
TEST_00843,트래킹
TEST_00844,사찰
TEST_00845,사찰
TEST_00846,"야영장,오토캠핑장"
TEST_00847,일반축제
TEST_00848,바/까페
TEST_00849,한식
TEST_00850,사찰
TEST_00851,테마공원
TEST_00852,테마공원
TEST_00853,트래킹
TEST_00854,해수욕장
TEST_00855,바/까페
TEST_00856,모텔
TEST_00857,유원지
TEST_00858,고택
TEST_00859,미술관/화랑
TEST_00860,바/까페
TEST_00861,자연생태관광지
TEST_00862,중식
TEST_00863,공연장
TEST_00864,이색거리
TEST_00865,한식
TEST_00866,펜션
TEST_00867,공원
TEST_00868,바/까페
TEST_00869,이색거리
TEST_00870,유적지/사적지
TEST_00871,펜션
TEST_00872,산
TEST_00873,한식
TEST_00874,이색거리
TEST_00875,한식
TEST_00876,해수욕장
TEST_00877,중식
TEST_00878,"야영장,오토캠핑장"
TEST_00879,미술관/화랑
TEST_00880,한옥스테이
TEST_00881,한식
TEST_00882,공원
TEST_00883,해수욕장
TEST_00884,모텔
TEST_00885,상설시장
TEST_00886,골프
TEST_00887,농.산.어촌 체험
TEST_00888,한식
TEST_00889,산
TEST_00890,자연생태관광지
TEST_00891,서양식
TEST_00892,공연장
TEST_00893,모텔
TEST_00894,바/까페
TEST_00895,한식
TEST_00896,"야영장,오토캠핑장"
TEST_00897,일반축제
TEST_00898,유적지/사적지
TEST_00899,한식
TEST_00900,한식
TEST_00901,게스트하우스
TEST_00902,바/까페
TEST_00903,공원
TEST_00904,해수욕장
TEST_00905,민물낚시
TEST_00906,온천/욕장/스파
TEST_00907,모텔
TEST_00908,한식
TEST_00909,일반축제
TEST_00910,펜션
TEST_00911,사찰
TEST_00912,한식
TEST_00913,모텔
TEST_00914,한식
TEST_00915,공원
TEST_00916,사찰
TEST_00917,5일장
TEST_00918,한식
TEST_00919,바/까페
TEST_00920,이색거리
TEST_00921,이색거리
TEST_00922,"야영장,오토캠핑장"
TEST_00923,모텔
TEST_00924,한식
TEST_00925,계곡
TEST_00926,해수욕장
TEST_00927,"야영장,오토캠핑장"
TEST_00928,자연생태관광지
TEST_00929,유적지/사적지
TEST_00930,서양식
TEST_00931,유명건물
TEST_00932,골프
TEST_00933,상설시장
TEST_00934,한식
TEST_00935,기념탑/기념비/전망대
TEST_00936,산
TEST_00937,동굴
TEST_00938,트래킹
TEST_00939,자동차경주
TEST_00940,한식
TEST_00941,일반축제
TEST_00942,수련시설
TEST_00943,기념탑/기념비/전망대
TEST_00944,트래킹
TEST_00945,농.산.어촌 체험
TEST_00946,관광단지
TEST_00947,일반축제
TEST_00948,한식
TEST_00949,바/까페
TEST_00950,"야영장,오토캠핑장"
TEST_00951,"야영장,오토캠핑장"
TEST_00952,일식
TEST_00953,바/까페
TEST_00954,서양식
TEST_00955,"야영장,오토캠핑장"
TEST_00956,한식
TEST_00957,게스트하우스
TEST_00958,한식
TEST_00959,농.산.어촌 체험
TEST_00960,한식
TEST_00961,한식
TEST_00962,"야영장,오토캠핑장"
TEST_00963,미술관/화랑
TEST_00964,트래킹
TEST_00965,한식
TEST_00966,게스트하우스
TEST_00967,한식
TEST_00968,트래킹
TEST_00969,자연생태관광지
TEST_00970,한식
TEST_00971,한식
TEST_00972,한식
TEST_00973,기념관
TEST_00974,한식
TEST_00975,한식
TEST_00976,계곡
TEST_00977,공연장
TEST_00978,자연생태관광지
TEST_00979,한식
TEST_00980,이색거리
TEST_00981,"야영장,오토캠핑장"
TEST_00982,전시관
TEST_00983,일식
TEST_00984,한식
TEST_00985,박물관
TEST_00986,모텔
TEST_00987,수련시설
TEST_00988,한식
TEST_00989,펜션
TEST_00990,"야영장,오토캠핑장"
TEST_00991,한식
TEST_00992,트래킹
TEST_00993,모텔
TEST_00994,중식
TEST_00995,바/까페
TEST_00996,한식
TEST_00997,"야영장,오토캠핑장"
TEST_00998,사찰
TEST_00999,공원
TEST_01000,한식
TEST_01001,한식
TEST_01002,한식
TEST_01003,전문상가
TEST_01004,모텔
TEST_01005,공원
TEST_01006,일반축제
TEST_01007,유적지/사적지
TEST_01008,"야영장,오토캠핑장"
TEST_01009,"야영장,오토캠핑장"
TEST_01010,서양식
TEST_01011,모텔
TEST_01012,"야영장,오토캠핑장"
TEST_01013,한식
TEST_01014,관광단지
TEST_01015,산
TEST_01016,모텔
TEST_01017,한식
TEST_01018,이색거리
TEST_01019,공연장
TEST_01020,관광단지
TEST_01021,바/까페
TEST_01022,한식
TEST_01023,유적지/사적지
TEST_01024,한식
TEST_01025,한식
TEST_01026,사찰
TEST_01027,테마공원
TEST_01028,"야영장,오토캠핑장"
TEST_01029,사찰
TEST_01030,바/까페
TEST_01031,이색거리
TEST_01032,스키(보드) 렌탈샵
TEST_01033,테마공원
TEST_01034,트래킹
TEST_01035,농.산.어촌 체험
TEST_01036,섬
TEST_01037,전문상가
TEST_01038,한식
TEST_01039,유적지/사적지
TEST_01040,한식
TEST_01041,해수욕장
TEST_01042,농.산.어촌 체험
TEST_01043,박물관
TEST_01044,강
TEST_01045,펜션
TEST_01046,기념탑/기념비/전망대
TEST_01047,농.산.어촌 체험
TEST_01048,일반축제
TEST_01049,이색거리
TEST_01050,공연장
TEST_01051,트래킹
TEST_01052,일반축제
TEST_01053,서양식
TEST_01054,유적지/사적지
TEST_01055,섬
TEST_01056,한식
TEST_01057,온천/욕장/스파
TEST_01058,산
TEST_01059,모텔
TEST_01060,미술관/화랑
TEST_01061,"야영장,오토캠핑장"
TEST_01062,바/까페
TEST_01063,"야영장,오토캠핑장"
TEST_01064,펜션
TEST_01065,"야영장,오토캠핑장"
TEST_01066,상설시장
TEST_01067,사찰
TEST_01068,공원
TEST_01069,골프
TEST_01070,한식
TEST_01071,한옥스테이
TEST_01072,서양식
TEST_01073,기념탑/기념비/전망대
TEST_01074,유적지/사적지
TEST_01075,이색거리
TEST_01076,한식
TEST_01077,이색거리
TEST_01078,한식
TEST_01079,공원
TEST_01080,농.산.어촌 체험
TEST_01081,유적지/사적지
TEST_01082,한식
TEST_01083,한식
TEST_01084,"야영장,오토캠핑장"
TEST_01085,트래킹
TEST_01086,한옥스테이
TEST_01087,서양식
TEST_01088,일반축제
TEST_01089,바/까페
TEST_01090,유적지/사적지
TEST_01091,공원
TEST_01092,이색거리
TEST_01093,테마공원
TEST_01094,한식
TEST_01095,펜션
TEST_01096,문화원
TEST_01097,일반축제
TEST_01098,중식
TEST_01099,한식
TEST_01100,미술관/화랑
TEST_01101,"야영장,오토캠핑장"
TEST_01102,문화원
TEST_01103,게스트하우스
TEST_01104,산
TEST_01105,한옥스테이
TEST_01106,"야영장,오토캠핑장"
TEST_01107,자연휴양림
TEST_01108,전문상가
TEST_01109,골프
